date,account,category,amount,currency,converted amount,currency,description
01/09/2018,Cash,Initial balance 'Cash',233,QAR,233,QAR,
01/09/2018,Credit  card,Initial balance 'Credit  card',"-5,158",QAR,"-5,158",QAR,
01/09/2018,Bank Account,Initial balance 'Bank Account',760,QAR,760,QAR,
01/09/2018,Borrowed,Initial balance 'Borrowed',431,QAR,431,QAR,
01/09/2018,Bank Account,To 'Credit  card',"-5,158",QAR,"-5,158",QAR,Credit card Payment 
01/09/2018,Credit  card,From 'Bank Account',"5,158",QAR,"5,158",QAR,Credit card Payment 
01/09/2018,Bank Account,Salary,"6,663",QAR,"6,663",QAR,Salary
01/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Milk
01/09/2018,Credit  card,Food,-242.35,QAR,-242.35,QAR,Safari 
04/09/2018,Bank Account,To 'Chitti Nazir',"-1,600",QAR,"-1,600",QAR,ATM Withdrawal by Nazeer
04/09/2018,Borrowed,To 'Chitti Nazir',-400,QAR,-400,QAR,
04/09/2018,Chitti Nazir,From 'Bank Account',"1,600",QAR,"1,600",QAR,ATM Withdrawal by Nazeer
04/09/2018,Chitti Nazir,From 'Borrowed',400,QAR,400,QAR,
06/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Water
06/09/2018,Cash,House,-2.5,QAR,-2.5,QAR,Super Glue
07/09/2018,Credit  card,Food,-200.45,QAR,-200.45,QAR,
07/09/2018,Cash,Eating out,-33,QAR,-33,QAR,
07/09/2018,Credit  card,Toiletry,-189,QAR,-189,QAR,
07/09/2018,Credit  card,School,-3,QAR,-3,QAR,Eracer
07/09/2018,Chitti Nazir,Initial balance 'Chitti Nazir',"10,000",QAR,"10,000",QAR,
07/09/2018,Credit  card,Transport,-916,QAR,-916,QAR,Ticket Booked for Father and Mother 
07/09/2018,Credit  card,Work,-279,QAR,-279,QAR,Laptop Bag
07/09/2018,Credit  card,School,-21,QAR,-21,QAR,School items 
07/09/2018,Cash,Car,-15,QAR,-15,QAR,Puncture 
07/09/2018,Cash,Eating out,-3,QAR,-3,QAR,Popcorn 
07/09/2018,Credit  card,Mobile,-8,QAR,-8,QAR,App purchase 
08/09/2018,Cash,Internet Share ,200,QAR,200,QAR,Internet Share
08/09/2018,Cash,Charity,-50,QAR,-50,QAR,Nal kumar
08/09/2018,Credit  card,Communications,-500,QAR,-500,QAR,Internet Bill Pay
08/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Milk
08/09/2018,Cash,Food,-2.5,QAR,-2.5,QAR,Snakes 
10/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Milk
12/09/2018,Cash,Food,-8,QAR,-8,QAR,Water
12/09/2018,Credit  card,Food,-126.75,QAR,-126.75,QAR,Grocery Grand
14/09/2018,Cash,Food,-20,QAR,-20,QAR,Gas Cylinder 
14/09/2018,Credit  card,Gifts,-65,QAR,-65,QAR,Clothe for Firoz's Son
14/09/2018,Credit  card,House,-79,QAR,-79,QAR,Kettle 79
14/09/2018,Credit  card,School,-15,QAR,-15,QAR,Tiffen Box
14/09/2018,Credit  card,Mobile,-19,QAR,-19,QAR,Mobile Holder
14/09/2018,Credit  card,Food,-3.25,QAR,-3.25,QAR,Chocolate 
14/09/2018,Credit  card,Food,-98.3,QAR,-98.3,QAR,Grocery Grand
15/09/2018,Cash,To 'Borrowed',-10,QAR,-10,QAR,Sameer Borrowed 
15/09/2018,Borrowed,From 'Cash',10,QAR,10,QAR,Sameer Borrowed 
16/09/2018,Credit  card,Health,-30,QAR,-30,QAR,Sidra Consultation Fee
16/09/2018,Credit  card,Eating out,-49,QAR,-49,QAR,Food MRA
16/09/2018,Cash,Gifts,-2,QAR,-2,QAR,Tip
16/09/2018,Credit  card,Food,-19.7,QAR,-19.7,QAR,Milk and vegetables 
20/09/2018,Credit  card,Health,-18.5,QAR,-18.5,QAR,Medicine Sidra
20/09/2018,Cash,Food,-8,QAR,-8,QAR,Water
20/09/2018,Cash,Charity,-2,QAR,-2,QAR,Tip
21/09/2018,Cash,House,-50,QAR,-50,QAR,Kitchen Appliances 
21/09/2018,Cash,Food,-13.5,QAR,-13.5,QAR,Grocery Ezdan
22/09/2018,Cash,Voucher ,50,QAR,50,QAR,Gift Voucher Lulu
22/09/2018,Credit  card,House,-33,QAR,-33,QAR,Tools
22/09/2018,Credit  card,Food,-234.7,QAR,-234.7,QAR,Grocery Lulu
22/09/2018,Credit  card,Transport,"-1,430",QAR,"-1,430",QAR,Ticket Booked for Father and Mother return
22/09/2018,Cash,Toiletry,-30,QAR,-30,QAR,Hair cut 
25/09/2018,Cash,Charity,-100,QAR,-100,QAR,Donation CMDRF - Noble
25/09/2018,Cash,Food,-9.5,QAR,-9.5,QAR,Milk and Snaks
25/09/2018,Cash,Charity,-10,QAR,-10,QAR,Tips Car Wash
25/09/2018,Credit  card,Food,-47.25,QAR,-47.25,QAR,Grocery Grand
27/09/2018,Cash,Food,-8,QAR,-8,QAR,Water
27/09/2018,Cash,Charity,-1,QAR,-1,QAR,Tip
27/09/2018,Cash,Food,-7.5,QAR,-7.5,QAR,Milk 
27/09/2018,Bank Account,Salary,"6,263",QAR,"6,263",QAR,Salary
27/09/2018,Bank Account,To 'Credit  card',"-3,000",QAR,"-3,000",QAR,Credit card Payment 
27/09/2018,Credit  card,From 'Bank Account',"3,000",QAR,"3,000",QAR,Credit card Payment 
28/09/2018,Credit  card,Clothes,-129.5,QAR,-129.5,QAR,Clothes
28/09/2018,Credit  card,Food,-329.2,QAR,-329.2,QAR,Grocery Safari
29/09/2018,Credit  card,Eating out,-26,QAR,-26,QAR,Ice cream City centre 
29/09/2018,Cash,Food,-8,QAR,-8,QAR,Water
30/09/2018,Cash,Other,-9.5,QAR,-9.5,QAR,Other and Correction 
01/10/2018,Bank Account,To 'Chitti Nazir',"-2,000",QAR,"-2,000",QAR,
01/10/2018,Chitti Nazir,From 'Bank Account',"2,000",QAR,"2,000",QAR,
01/10/2018,Cash,Food,-15,QAR,-15,QAR,Milk 
02/10/2018,Cash,Food,-12,QAR,-12,QAR,Fruits
02/10/2018,Cash,Food,-7,QAR,-7,QAR,Vegetables
02/10/2018,Bank Account,To 'Chitti Jamshad',-500,QAR,-500,QAR,
02/10/2018,Chitti Jamshad,From 'Bank Account',500,QAR,500,QAR,
03/10/2018,Credit  card,School,"-1,550",QAR,"-1,550",QAR,School Fees 
03/10/2018,Bank Account,Charity,-500,QAR,-500,QAR,To Liju
04/10/2018,Credit  card,Eating out,-57,QAR,-57,QAR,KFC
04/10/2018,Cash,Food,-8,QAR,-8,QAR,Water
06/10/2018,Credit  card,Mobile,-10,QAR,-10,QAR,Mobile recharge 
06/10/2018,Credit  card,House,-65,QAR,-65,QAR,Pillow and shoes
06/10/2018,Credit  card,Food,-367.7,QAR,-367.7,QAR,Grocery Lulu
07/10/2018,Credit  card,Health,-30,QAR,-30,QAR,Hospital Consultation Fee
07/10/2018,Credit  card,Health,-36,QAR,-36,QAR,Medicine Focus
07/10/2018,Cash,Food,-8,QAR,-8,QAR,Water
08/10/2018,Cash,Food,-19,QAR,-19,QAR,Tea Powder
08/10/2018,Bank Account,To 'Cash',-100,QAR,-100,QAR,
08/10/2018,Cash,From 'Bank Account',100,QAR,100,QAR,
09/10/2018,Bank Account,School,-500,QAR,-500,QAR,Taxi
10/10/2018,Cash,Food,-8,QAR,-8,QAR,Water
11/10/2018,Credit  card,Food,-219,QAR,-219,QAR,Grocery Safari
12/10/2018,Cash,Charity,-2,QAR,-2,QAR,Tip 
12/10/2018,Cash,Eating out,-6,QAR,-6,QAR,Tea and Snacks
13/10/2018,Cash,Food,-20,QAR,-20,QAR,Gas Cylinder 
13/10/2018,Credit  card,Health,-100,QAR,-100,QAR,Hospital Fee
14/10/2018,Cash,Food,-8,QAR,-8,QAR,Water
15/10/2018,Cash,Internet Share ,100,QAR,100,QAR,
17/10/2018,Cash,Food,-8,QAR,-8,QAR,Water
17/10/2018,Credit  card,House,-3.65,QAR,-3.65,QAR,Amazon Prime 
18/10/2018,Credit  card,Food,-147.15,QAR,-147.15,QAR,Grocery Grand
18/10/2018,Cash,Food,-8,QAR,-8,QAR,Milk 
20/10/2018,Cash,Eating out,-8,QAR,-8,QAR,Tea Safari
20/10/2018,Cash,Food,-7,QAR,-7,QAR,Water
20/10/2018,Cash,Food,-6,QAR,-6,QAR,Juice
20/10/2018,Cash,Eating out,-5,QAR,-5,QAR,Ice cream  McDonald's 
20/10/2018,Credit  card,Food,-221.5,QAR,-221.5,QAR,Grocery Safari
20/10/2018,Credit  card,Other,-17,QAR,-17,QAR,Cricket Balls
23/10/2018,Cash,Food,-8,QAR,-8,QAR,Water
24/10/2018,Credit  card,Food,-49.5,QAR,-49.5,QAR,Grocery Grand
24/10/2018,Cash,Food,-1.5,QAR,-1.5,QAR,Juice 
25/10/2018,Credit  card,Eating out,-69,QAR,-69,QAR,Food Rotana
25/10/2018,Cash,Charity,-5,QAR,-5,QAR,Tip Rotana
25/10/2018,Bank Account,To 'Credit  card',-150,QAR,-150,QAR,
25/10/2018,Credit  card,From 'Bank Account',150,QAR,150,QAR,
